,file_loc,num_boolops,num_lines_with_boolops,file
0,22,0,0,Real-Time-Voice-Cloning/demo_toolbox.py
1,32,0,0,Real-Time-Voice-Cloning/encoder_preprocess.py
2,12,0,0,Real-Time-Voice-Cloning/synthesizer_preprocess_embeds.py
3,17,0,0,Real-Time-Voice-Cloning/synthesizer_train.py
4,30,0,0,Real-Time-Voice-Cloning/synthesizer_preprocess_audio.py
5,111,1,1,Real-Time-Voice-Cloning/demo_cli.py
6,33,0,0,Real-Time-Voice-Cloning/vocoder_preprocess.py
7,27,0,0,Real-Time-Voice-Cloning/vocoder_train.py
8,20,0,0,Real-Time-Voice-Cloning/encoder_train.py
9,4,0,0,Real-Time-Voice-Cloning/toolbox/utterance.py
10,255,4,4,Real-Time-Voice-Cloning/toolbox/__init__.py
11,452,1,1,Real-Time-Voice-Cloning/toolbox/ui.py
12,85,0,0,Real-Time-Voice-Cloning/vocoder/audio.py
13,73,3,3,Real-Time-Voice-Cloning/vocoder/train.py
14,42,0,0,Real-Time-Voice-Cloning/vocoder/inference.py
15,79,0,0,Real-Time-Voice-Cloning/vocoder/distribution.py
16,20,1,1,Real-Time-Voice-Cloning/vocoder/gen_wavernn.py
17,62,0,0,Real-Time-Voice-Cloning/vocoder/vocoder_dataset.py
18,29,0,0,Real-Time-Voice-Cloning/vocoder/hparams.py
19,96,0,0,Real-Time-Voice-Cloning/vocoder/display.py
20,368,2,2,Real-Time-Voice-Cloning/vocoder/models/fatchord_version.py
21,100,0,0,Real-Time-Voice-Cloning/vocoder/models/deepmind_version.py
22,10,0,0,Real-Time-Voice-Cloning/encoder/params_data.py
23,83,7,5,Real-Time-Voice-Cloning/encoder/audio.py
24,125,1,1,Real-Time-Voice-Cloning/encoder/preprocess.py
25,76,3,3,Real-Time-Voice-Cloning/encoder/train.py
26,149,1,1,Real-Time-Voice-Cloning/encoder/inference.py
27,87,0,0,Real-Time-Voice-Cloning/encoder/model.py
28,110,0,0,Real-Time-Voice-Cloning/encoder/visualizations.py
29,0,0,0,Real-Time-Voice-Cloning/encoder/__init__.py
30,5,0,0,Real-Time-Voice-Cloning/encoder/config.py
31,6,0,0,Real-Time-Voice-Cloning/encoder/params_model.py
32,10,0,0,Real-Time-Voice-Cloning/encoder/data_objects/speaker_batch.py
33,38,0,0,Real-Time-Voice-Cloning/encoder/data_objects/speaker_verification_dataset.py
34,26,0,0,Real-Time-Voice-Cloning/encoder/data_objects/utterance.py
35,37,0,0,Real-Time-Voice-Cloning/encoder/data_objects/speaker.py
36,2,0,0,Real-Time-Voice-Cloning/encoder/data_objects/__init__.py
37,35,0,0,Real-Time-Voice-Cloning/encoder/data_objects/random_cycler.py
38,183,1,1,Real-Time-Voice-Cloning/synthesizer/audio.py
39,155,5,5,Real-Time-Voice-Cloning/synthesizer/preprocess.py
40,156,7,7,Real-Time-Voice-Cloning/synthesizer/train.py
41,125,1,1,Real-Time-Voice-Cloning/synthesizer/inference.py
42,62,0,0,Real-Time-Voice-Cloning/synthesizer/synthesizer_dataset.py
43,0,0,0,Real-Time-Voice-Cloning/synthesizer/__init__.py
44,52,1,1,Real-Time-Voice-Cloning/synthesizer/synthesize.py
45,30,0,0,Real-Time-Voice-Cloning/synthesizer/hparams.py
46,361,2,2,Real-Time-Voice-Cloning/synthesizer/models/tacotron.py
47,45,3,1,Real-Time-Voice-Cloning/synthesizer/utils/_cmudict.py
48,61,4,4,Real-Time-Voice-Cloning/synthesizer/utils/numbers.py
49,10,0,0,Real-Time-Voice-Cloning/synthesizer/utils/symbols.py
50,41,0,0,Real-Time-Voice-Cloning/synthesizer/utils/__init__.py
51,59,2,2,Real-Time-Voice-Cloning/synthesizer/utils/text.py
52,58,0,0,Real-Time-Voice-Cloning/synthesizer/utils/plot.py
53,56,0,0,Real-Time-Voice-Cloning/synthesizer/utils/cleaners.py
54,114,0,0,Real-Time-Voice-Cloning/utils/logmmse.py
55,14,3,3,Real-Time-Voice-Cloning/utils/modelutils.py
56,30,0,0,Real-Time-Voice-Cloning/utils/argutils.py
57,0,0,0,Real-Time-Voice-Cloning/utils/__init__.py
58,39,0,0,Real-Time-Voice-Cloning/utils/profiler.py
