,file_loc,num_boolops,num_lines_with_boolops,file
0,35,1,1,compose/setup.py
1,25,0,0,compose/script/docs/check_help.py
2,2,0,0,compose/script/release/const.py
3,98,0,0,compose/script/release/release.py
4,39,2,2,compose/script/release/utils.py
5,147,0,0,compose/script/test/versions.py
6,47,0,0,compose/tests/helpers.py
7,19,0,0,compose/tests/conftest.py
8,2,0,0,compose/tests/__init__.py
9,25,0,0,compose/tests/integration/network_test.py
10,317,0,0,compose/tests/integration/state_test.py
11,47,0,0,compose/tests/integration/resilience_test.py
12,99,0,0,compose/tests/integration/metrics_test.py
13,1252,0,0,compose/tests/integration/service_test.py
14,115,0,0,compose/tests/integration/volume_test.py
15,0,0,0,compose/tests/integration/__init__.py
16,62,0,0,compose/tests/integration/environment_test.py
17,139,4,4,compose/tests/integration/testcases.py
18,944,0,0,compose/tests/integration/project_test.py
19,0,0,0,compose/tests/acceptance/__init__.py
20,2239,7,7,compose/tests/acceptance/cli_test.py
21,42,0,0,compose/tests/acceptance/context_test.py
22,61,0,0,compose/tests/unit/network_test.py
23,110,0,0,compose/tests/unit/container_test.py
24,40,0,0,compose/tests/unit/timeparse_test.py
25,104,0,0,compose/tests/unit/parallel_test.py
26,55,0,0,compose/tests/unit/utils_test.py
27,824,0,0,compose/tests/unit/service_test.py
28,20,0,0,compose/tests/unit/volume_test.py
29,0,0,0,compose/tests/unit/__init__.py
30,49,0,0,compose/tests/unit/split_buffer_test.py
31,80,0,0,compose/tests/unit/progress_stream_test.py
32,143,0,0,compose/tests/unit/cli_test.py
33,330,0,0,compose/tests/unit/project_test.py
34,96,0,0,compose/tests/unit/config/sort_services_test.py
35,165,0,0,compose/tests/unit/config/interpolation_test.py
36,0,0,0,compose/tests/unit/config/__init__.py
37,176,0,0,compose/tests/unit/config/types_test.py
38,44,0,0,compose/tests/unit/config/environment_test.py
39,1971,1,1,compose/tests/unit/config/config_test.py
40,80,0,0,compose/tests/unit/cli/errors_test.py
41,44,1,1,compose/tests/unit/cli/formatter_test.py
42,195,0,0,compose/tests/unit/cli/docker_client_test.py
43,51,0,0,compose/tests/unit/cli/command_test.py
44,48,0,0,compose/tests/unit/cli/colors_test.py
45,24,0,0,compose/tests/unit/cli/verbose_proxy_test.py
46,44,0,0,compose/tests/unit/cli/utils_test.py
47,0,0,0,compose/tests/unit/cli/__init__.py
48,158,0,0,compose/tests/unit/cli/log_printer_test.py
49,157,0,0,compose/tests/unit/cli/main_test.py
50,12,0,0,compose/tests/unit/metrics/metrics_test.py
51,0,0,0,compose/tests/unit/metrics/__init__.py
52,96,0,0,compose/contrib/migration/migrate-compose-file-v1-to-v2.py
53,297,9,9,compose/compose/container.py
54,2,0,0,compose/compose/__main__.py
55,29,0,0,compose/compose/errors.py
56,220,17,17,compose/compose/network.py
57,47,1,1,compose/compose/timeparse.py
58,152,7,7,compose/compose/volume.py
59,26,0,0,compose/compose/const.py
60,95,6,6,compose/compose/progress_stream.py
61,298,4,3,compose/compose/parallel.py
62,740,18,18,compose/compose/project.py
63,1,0,0,compose/compose/__init__.py
64,7,0,0,compose/compose/version.py
65,1269,54,54,compose/compose/service.py
66,157,5,5,compose/compose/utils.py
67,374,10,10,compose/compose/config/types.py
68,36,0,0,compose/compose/config/errors.py
69,11,0,0,compose/compose/config/__init__.py
70,333,12,12,compose/compose/config/validation.py
71,50,1,1,compose/compose/config/sort_services.py
72,91,3,3,compose/compose/config/serialize.py
73,177,6,6,compose/compose/config/interpolation.py
74,996,31,27,compose/compose/config/config.py
75,103,3,3,compose/compose/config/environment.py
76,42,0,0,compose/compose/cli/formatter.py
77,112,1,1,compose/compose/cli/errors.py
78,29,0,0,compose/compose/cli/signals.py
79,48,0,0,compose/compose/cli/docopt_command.py
80,1263,33,31,compose/compose/cli/main.py
81,118,7,7,compose/compose/cli/docker_client.py
82,182,3,3,compose/compose/cli/log_printer.py
83,41,1,1,compose/compose/cli/verbose_proxy.py
84,0,0,0,compose/compose/cli/__init__.py
85,42,1,1,compose/compose/cli/colors.py
86,130,6,6,compose/compose/cli/command.py
87,104,4,4,compose/compose/cli/utils.py
88,46,2,2,compose/compose/metrics/client.py
89,0,0,0,compose/compose/metrics/__init__.py
90,19,0,0,compose/compose/metrics/decorator.py
