,file_loc,num_boolops,num_lines_with_boolops,file
0,17.0,0.0,0.0,django/setup.py
1,113.0,2.0,2.0,django/django/shortcuts.py
2,8.0,0.0,0.0,django/django/__main__.py
3,18.0,0.0,0.0,django/django/__init__.py
4,18.0,0.0,0.0,django/django/db/__init__.py
5,250.0,4.0,4.0,django/django/db/transaction.py
6,229.0,3.0,3.0,django/django/db/utils.py
7,216.0,5.0,5.0,django/django/db/backends/ddl_references.py
8,2.0,0.0,0.0,django/django/db/backends/signals.py
9,0.0,0.0,0.0,django/django/db/backends/__init__.py
10,196.0,5.0,5.0,django/django/db/backends/utils.py
11,44.0,0.0,0.0,django/django/db/backends/mysql/client.py
12,230.0,1.0,1.0,django/django/db/backends/mysql/base.py
13,164.0,13.0,12.0,django/django/db/backends/mysql/features.py
14,115.0,7.0,7.0,django/django/db/backends/mysql/schema.py
15,0.0,0.0,0.0,django/django/db/backends/mysql/__init__.py
16,51.0,2.0,2.0,django/django/db/backends/mysql/compiler.py
17,29.0,3.0,3.0,django/django/db/backends/mysql/validation.py
18,150.0,5.0,5.0,django/django/db/backends/mysql/introspection.py
19,259.0,11.0,10.0,django/django/db/backends/mysql/operations.py
20,56.0,1.0,1.0,django/django/db/backends/mysql/creation.py
21,9.0,0.0,0.0,django/django/db/backends/sqlite3/client.py
22,427.0,2.0,2.0,django/django/db/backends/sqlite3/base.py
23,74.0,1.0,1.0,django/django/db/backends/sqlite3/features.py
24,262.0,23.0,22.0,django/django/db/backends/sqlite3/schema.py
25,0.0,0.0,0.0,django/django/db/backends/sqlite3/__init__.py
26,297.0,3.0,3.0,django/django/db/backends/sqlite3/introspection.py
27,279.0,5.0,5.0,django/django/db/backends/sqlite3/operations.py
28,87.0,5.0,5.0,django/django/db/backends/sqlite3/creation.py
29,56.0,2.0,2.0,django/django/db/backends/postgresql/client.py
30,200.0,4.0,4.0,django/django/db/backends/postgresql/base.py
31,66.0,0.0,0.0,django/django/db/backends/postgresql/features.py
32,114.0,15.0,9.0,django/django/db/backends/postgresql/schema.py
33,0.0,0.0,0.0,django/django/db/backends/postgresql/__init__.py
34,65.0,2.0,2.0,django/django/db/backends/postgresql/introspection.py
35,210.0,3.0,3.0,django/django/db/backends/postgresql/operations.py
36,56.0,2.0,2.0,django/django/db/backends/postgresql/creation.py
37,18.0,0.0,0.0,django/django/db/backends/base/client.py
38,553.0,8.0,8.0,django/django/db/backends/base/base.py
39,147.0,0.0,0.0,django/django/db/backends/base/features.py
40,838.0,96.0,90.0,django/django/db/backends/base/schema.py
41,0.0,0.0,0.0,django/django/db/backends/base/__init__.py
42,18.0,1.0,1.0,django/django/db/backends/base/validation.py
43,162.0,2.0,2.0,django/django/db/backends/base/introspection.py
44,648.0,6.0,4.0,django/django/db/backends/base/operations.py
45,237.0,3.0,3.0,django/django/db/backends/base/creation.py
46,20.0,0.0,0.0,django/django/db/backends/oracle/client.py
47,342.0,6.0,5.0,django/django/db/backends/oracle/base.py
48,67.0,0.0,0.0,django/django/db/backends/oracle/features.py
49,15.0,2.0,2.0,django/django/db/backends/oracle/functions.py
50,141.0,6.0,6.0,django/django/db/backends/oracle/schema.py
