,file_loc,num_boolops,num_lines_with_boolops,file
0,1875,8,8,keras/keras/losses.py
1,328,1,1,keras/keras/regularizers.py
2,321,0,0,keras/keras/callbacks_v1_test.py
3,112,0,0,keras/keras/combinations_test.py
4,222,0,0,keras/keras/activations_test.py
5,77,0,0,keras/keras/combinations.py
6,34,0,0,keras/keras/backend_config_test.py
7,1459,8,8,keras/keras/backend_test.py
8,1685,7,7,keras/keras/callbacks_test.py
9,538,12,12,keras/keras/models.py
10,415,3,3,keras/keras/keras_parameterized.py
11,96,0,0,keras/keras/metrics_functional_test.py
12,1288,1,1,keras/keras/losses_test.py
13,117,0,0,keras/keras/regularizers_test.py
14,89,0,0,keras/keras/optimizers.py
15,169,1,1,keras/keras/optimizers_test.py
16,349,1,1,keras/keras/models_test.py
17,271,1,1,keras/keras/constraints.py
18,3034,11,11,keras/keras/metrics.py
19,1654,2,2,keras/keras/metrics_test.py
20,375,0,0,keras/keras/keras_parameterized_test.py
21,1331,0,0,keras/keras/metrics_confusion_matrix_test.py
22,14,0,0,keras/keras/__init__.py
23,631,1,1,keras/keras/optimizer_v1.py
24,826,9,9,keras/keras/testing_utils.py
25,542,1,1,keras/keras/activations.py
26,2397,61,61,keras/keras/callbacks.py
27,81,0,0,keras/keras/constraints_test.py
28,120,0,0,keras/keras/backend_config.py
29,336,0,0,keras/keras/metrics_correctness_test.py
30,5465,68,64,keras/keras/backend.py
31,340,12,12,keras/keras/callbacks_v1.py
32,114,0,0,keras/keras/layers/serialization_test.py
33,1177,0,0,keras/keras/layers/pooling.py
34,47,0,0,keras/keras/layers/subclassed_layers_test.py
35,66,0,0,keras/keras/layers/einsum_dense_test.py
36,412,0,0,keras/keras/layers/dense_attention_test.py
37,970,0,0,keras/keras/layers/wrappers_test.py
38,338,2,2,keras/keras/layers/multi_head_attention.py
39,122,0,0,keras/keras/layers/convolutional_recurrent_test.py
40,85,1,1,keras/keras/layers/rnn_cell_wrapper_v2.py
41,2440,6,6,keras/keras/layers/convolutional.py
42,1249,0,0,keras/keras/layers/recurrent_test.py
43,708,0,0,keras/keras/layers/lstm_v2_test.py
44,399,0,0,keras/keras/layers/core_test.py
45,695,13,10,keras/keras/layers/convolutional_test.py
46,1066,16,14,keras/keras/layers/recurrent_v2.py
47,199,0,0,keras/keras/layers/multi_head_attention_test.py
48,105,3,3,keras/keras/layers/serialization.py
49,302,4,4,keras/keras/layers/cudnn_recurrent.py
50,151,4,4,keras/keras/layers/embeddings.py
51,76,0,0,keras/keras/layers/advanced_activations_test.py
52,728,0,0,keras/keras/layers/convolutional_recurrent.py
53,163,0,0,keras/keras/layers/rnn_cell_wrapper_v2_test.py
54,449,2,2,keras/keras/layers/dense_attention.py
55,605,8,7,keras/keras/layers/wrappers.py
56,77,0,0,keras/keras/layers/recurrent_v2_test.py
57,225,0,0,keras/keras/layers/kernelized_test.py
58,58,0,0,keras/keras/layers/noise_test.py
59,193,0,0,keras/keras/layers/__init__.py
60,867,9,9,keras/keras/layers/merge.py
61,527,3,3,keras/keras/layers/local.py
62,83,1,1,keras/keras/layers/separable_convolutional_test.py
63,148,0,0,keras/keras/layers/simplernn_test.py
64,157,0,0,keras/keras/layers/pooling_test.py
65,320,0,0,keras/keras/layers/merge_test.py
66,501,0,0,keras/keras/layers/tensorflow_op_layer_test.py
67,313,0,0,keras/keras/layers/cudnn_recurrent_test.py
68,97,2,2,keras/keras/layers/convolutional_transpose_test.py
69,1404,15,15,keras/keras/layers/core.py
70,201,4,4,keras/keras/layers/einsum_dense.py
71,169,0,0,keras/keras/layers/noise.py
72,70,0,0,keras/keras/layers/embeddings_test.py
73,175,0,0,keras/keras/layers/gru_test.py
74,15,0,0,keras/keras/layers/layers_test.py
75,298,0,0,keras/keras/layers/lstm_test.py
76,382,3,3,keras/keras/layers/advanced_activations.py
77,192,2,2,keras/keras/layers/kernelized.py
78,332,8,8,keras/keras/layers/local_test.py
79,2153,21,21,keras/keras/layers/recurrent.py
80,511,0,0,keras/keras/layers/gru_v2_test.py
81,245,5,5,keras/keras/layers/normalization/layer_normalization.py
82,218,0,0,keras/keras/layers/normalization/layer_normalization_test.py
83,331,0,0,keras/keras/layers/normalization/batch_normalization_test.py
84,0,0,0,keras/keras/layers/normalization/__init__.py
85,803,20,20,keras/keras/layers/normalization/batch_normalization.py
86,7,0,0,keras/keras/layers/normalization/batch_normalization_v1.py
87,220,0,0,keras/keras/layers/preprocessing/normalization_test.py
88,421,0,0,keras/keras/layers/preprocessing/integer_lookup_test.py
89,162,0,0,keras/keras/layers/preprocessing/category_crossing.py
90,181,0,0,keras/keras/layers/preprocessing/category_crossing_test.py
91,26,0,0,keras/keras/layers/preprocessing/hashing_distribution_test.py
92,200,0,0,keras/keras/layers/preprocessing/hashing_test.py
93,565,23,22,keras/keras/layers/preprocessing/index_lookup.py
94,1102,5,5,keras/keras/layers/preprocessing/index_lookup_test.py
95,83,3,3,keras/keras/layers/preprocessing/preprocessing_test_utils.py
96,130,0,0,keras/keras/layers/preprocessing/table_utils.py
97,848,0,0,keras/keras/layers/preprocessing/text_vectorization_test.py
98,37,0,0,keras/keras/layers/preprocessing/category_encoding_distribution_test.py
99,236,5,5,keras/keras/layers/preprocessing/discretization.py
100,266,1,1,keras/keras/layers/preprocessing/string_lookup.py
101,42,0,0,keras/keras/layers/preprocessing/normalization_tpu_test.py
102,81,0,0,keras/keras/layers/preprocessing/index_lookup_distribution_test.py
103,71,0,0,keras/keras/layers/preprocessing/reduction.py
104,223,0,0,keras/keras/layers/preprocessing/category_encoding_test.py
105,0,0,0,keras/keras/layers/preprocessing/__init__.py
106,971,11,11,keras/keras/layers/preprocessing/image_preprocessing.py
107,179,4,4,keras/keras/layers/preprocessing/hashing.py
108,40,0,0,keras/keras/layers/preprocessing/normalization_distribution_test.py
