,file_loc,num_boolops,num_lines_with_boolops,file
0,51,2,2,scikit-learn/conftest.py
1,140,1,1,scikit-learn/setup.py
2,102,1,1,scikit-learn/build_tools/generate_authors_table.py
3,25,0,0,scikit-learn/build_tools/github/check_wheels.py
4,67,1,1,scikit-learn/build_tools/github/vendor.py
5,83,2,2,scikit-learn/build_tools/circle/list_versions.py
6,105,7,7,scikit-learn/doc/conftest.py
7,190,0,0,scikit-learn/doc/conf.py
8,77,6,4,scikit-learn/doc/tutorial/machine_learning_map/svg2imagemap.py
9,5183,85,73,scikit-learn/doc/tutorial/machine_learning_map/pyparsing.py
10,99,3,3,scikit-learn/doc/tutorial/machine_learning_map/parse_path.py
11,34,0,0,scikit-learn/doc/tutorial/text_analytics/solutions/exercise_02_sentiment.py
12,27,1,1,scikit-learn/doc/tutorial/text_analytics/solutions/generate_skeletons.py
13,29,0,0,scikit-learn/doc/tutorial/text_analytics/solutions/exercise_01_language_train_model.py
14,18,0,0,scikit-learn/doc/tutorial/text_analytics/data/movie_reviews/fetch_data.py
15,19,1,1,scikit-learn/doc/tutorial/text_analytics/data/twenty_newsgroups/fetch_data.py
16,56,0,0,scikit-learn/doc/tutorial/text_analytics/data/languages/fetch_data.py
17,26,0,0,scikit-learn/doc/tutorial/text_analytics/skeletons/exercise_02_sentiment.py
18,25,0,0,scikit-learn/doc/tutorial/text_analytics/skeletons/exercise_01_language_train_model.py
19,113,2,2,scikit-learn/doc/sphinxext/add_toctree_functions.py
20,71,1,1,scikit-learn/doc/sphinxext/github_link.py
21,95,3,3,scikit-learn/doc/sphinxext/custom_references_resolver.py
22,144,8,8,scikit-learn/doc/sphinxext/sphinx_issues.py
23,30,0,0,scikit-learn/maint_tools/check_pxd_in_installation.py
24,106,3,3,scikit-learn/maint_tools/test_docstrings.py
25,29,1,1,scikit-learn/maint_tools/sort_whats_new.py
26,335,5,4,scikit-learn/sklearn/isotonic.py
27,10,0,0,scikit-learn/sklearn/_distributor_init.py
28,186,2,2,scikit-learn/sklearn/kernel_ridge.py
29,100,1,1,scikit-learn/sklearn/conftest.py
30,65,0,0,scikit-learn/sklearn/setup.py
31,713,7,7,scikit-learn/sklearn/base.py
32,749,3,3,scikit-learn/sklearn/multioutput.py
33,944,10,8,scikit-learn/sklearn/pipeline.py
34,553,2,2,scikit-learn/sklearn/random_projection.py
35,821,5,5,scikit-learn/sklearn/discriminant_analysis.py
36,795,2,2,scikit-learn/sklearn/multiclass.py
37,763,4,4,scikit-learn/sklearn/calibration.py
38,23,0,0,scikit-learn/sklearn/_min_dependencies.py
