,file_loc,num_boolops,num_lines_with_boolops,file
0,49,2,2,scrapy/conftest.py
1,24,0,0,scrapy/setup.py
2,302,4,3,scrapy/scrapy/exporters.py
3,199,4,4,scrapy/scrapy/pqueues.py
4,14,0,0,scrapy/scrapy/extension.py
5,3,0,0,scrapy/scrapy/__main__.py
6,100,0,0,scrapy/scrapy/logformatter.py
7,95,5,5,scrapy/scrapy/responsetypes.py
8,127,0,0,scrapy/scrapy/squeues.py
9,28,0,0,scrapy/scrapy/signals.py
10,76,0,0,scrapy/scrapy/dupefilters.py
11,68,0,0,scrapy/scrapy/middleware.py
12,72,0,0,scrapy/scrapy/spiderloader.py
13,106,0,0,scrapy/scrapy/resolver.py
14,77,0,0,scrapy/scrapy/statscollectors.py
15,17,0,0,scrapy/scrapy/interfaces.py
16,142,2,2,scrapy/scrapy/cmdline.py
17,43,1,1,scrapy/scrapy/link.py
18,22,1,1,scrapy/scrapy/__init__.py
19,144,3,3,scrapy/scrapy/item.py
20,294,2,2,scrapy/scrapy/crawler.py
21,119,0,0,scrapy/scrapy/robotstxt.py
22,163,3,3,scrapy/scrapy/shell.py
23,67,0,0,scrapy/scrapy/exceptions.py
24,67,0,0,scrapy/scrapy/signalmanager.py
25,97,2,2,scrapy/scrapy/mail.py
26,173,0,0,scrapy/scrapy/settings/default_settings.py
27,439,3,3,scrapy/scrapy/settings/__init__.py
28,84,1,1,scrapy/scrapy/contracts/default.py
29,153,1,1,scrapy/scrapy/contracts/__init__.py
30,53,0,0,scrapy/scrapy/commands/runspider.py
31,48,0,0,scrapy/scrapy/commands/bench.py
32,118,2,2,scrapy/scrapy/commands/genspider.py
33,33,0,0,scrapy/scrapy/commands/edit.py
34,100,1,1,scrapy/scrapy/commands/startproject.py
35,208,5,5,scrapy/scrapy/commands/parse.py
36,110,1,1,scrapy/scrapy/commands/__init__.py
37,58,1,1,scrapy/scrapy/commands/fetch.py
38,25,0,0,scrapy/scrapy/commands/version.py
39,17,0,0,scrapy/scrapy/commands/view.py
40,12,0,0,scrapy/scrapy/commands/list.py
41,25,3,3,scrapy/scrapy/commands/crawl.py
42,58,0,0,scrapy/scrapy/commands/shell.py
43,79,2,2,scrapy/scrapy/commands/check.py
44,38,0,0,scrapy/scrapy/commands/settings.py
45,48,0,0,scrapy/scrapy/spidermiddlewares/httperror.py
46,46,2,2,scrapy/scrapy/spidermiddlewares/depth.py
47,0,0,0,scrapy/scrapy/spidermiddlewares/__init__.py
48,32,2,2,scrapy/scrapy/spidermiddlewares/urllength.py
49,75,3,3,scrapy/scrapy/spidermiddlewares/offsite.py
50,308,6,4,scrapy/scrapy/spidermiddlewares/referer.py
51,85,1,1,scrapy/scrapy/loader/__init__.py
52,13,0,0,scrapy/scrapy/loader/processors.py
53,11,0,0,scrapy/scrapy/loader/common.py
54,182,4,4,scrapy/scrapy/pipelines/media.py
55,23,0,0,scrapy/scrapy/pipelines/__init__.py
56,137,4,4,scrapy/scrapy/pipelines/images.py
57,354,8,8,scrapy/scrapy/pipelines/files.py
58,82,6,6,scrapy/scrapy/downloadermiddlewares/redirect.py
59,21,0,0,scrapy/scrapy/downloadermiddlewares/useragent.py
60,122,2,2,scrapy/scrapy/downloadermiddlewares/retry.py
61,61,3,3,scrapy/scrapy/downloadermiddlewares/httpproxy.py
62,28,2,2,scrapy/scrapy/downloadermiddlewares/httpauth.py
63,33,0,0,scrapy/scrapy/downloadermiddlewares/stats.py
64,64,1,1,scrapy/scrapy/downloadermiddlewares/ajaxcrawl.py
65,96,0,0,scrapy/scrapy/downloadermiddlewares/cookies.py
66,0,0,0,scrapy/scrapy/downloadermiddlewares/__init__.py
67,67,0,0,scrapy/scrapy/downloadermiddlewares/decompression.py
68,92,0,0,scrapy/scrapy/downloadermiddlewares/robotstxt.py
69,93,2,2,scrapy/scrapy/downloadermiddlewares/httpcache.py
70,20,0,0,scrapy/scrapy/downloadermiddlewares/defaultheaders.py
71,76,3,3,scrapy/scrapy/downloadermiddlewares/httpcompression.py
72,24,0,0,scrapy/scrapy/downloadermiddlewares/downloadtimeout.py
73,0,0,0,scrapy/scrapy/templates/project/module/__init__.py
74,0,0,0,scrapy/scrapy/templates/project/module/spiders/__init__.py
75,44,1,1,scrapy/scrapy/extensions/logstats.py
76,30,0,0,scrapy/scrapy/extensions/memdebug.py
77,107,0,0,scrapy/scrapy/extensions/memusage.py
78,52,0,0,scrapy/scrapy/extensions/debug.py
79,75,1,1,scrapy/scrapy/extensions/telnet.py
80,44,0,0,scrapy/scrapy/extensions/corestats.py
81,363,17,17,scrapy/scrapy/extensions/feedexport.py
82,54,1,1,scrapy/scrapy/extensions/closespider.py
83,0,0,0,scrapy/scrapy/extensions/__init__.py
84,33,0,0,scrapy/scrapy/extensions/statsmailer.py
85,61,2,2,scrapy/scrapy/extensions/throttle.py
86,290,7,7,scrapy/scrapy/extensions/httpcache.py
87,37,1,1,scrapy/scrapy/extensions/spiderstate.py
88,174,1,1,scrapy/scrapy/http/cookies.py
89,15,0,0,scrapy/scrapy/http/__init__.py
90,84,0,0,scrapy/scrapy/http/headers.py
91,7,0,0,scrapy/scrapy/http/common.py
92,24,1,1,scrapy/scrapy/http/request/rpc.py
93,155,10,10,scrapy/scrapy/http/request/form.py
94,51,4,4,scrapy/scrapy/http/request/json_request.py
95,154,6,6,scrapy/scrapy/http/request/__init__.py
96,142,1,1,scrapy/scrapy/http/response/__init__.py
97,10,0,0,scrapy/scrapy/http/response/html.py
98,205,2,2,scrapy/scrapy/http/response/text.py
99,10,0,0,scrapy/scrapy/http/response/xml.py
100,299,2,2,scrapy/scrapy/core/scheduler.py
101,319,6,6,scrapy/scrapy/core/engine.py
102,229,4,4,scrapy/scrapy/core/scraper.py
103,3,0,0,scrapy/scrapy/core/__init__.py
104,118,0,0,scrapy/scrapy/core/spidermw.py
105,248,7,7,scrapy/scrapy/core/http2/stream.py
106,298,4,4,scrapy/scrapy/core/http2/protocol.py
107,0,0,0,scrapy/scrapy/core/http2/__init__.py
108,109,0,0,scrapy/scrapy/core/http2/agent.py
109,171,4,4,scrapy/scrapy/core/downloader/webclient.py
110,70,2,2,scrapy/scrapy/core/downloader/middleware.py
111,47,0,0,scrapy/scrapy/core/downloader/tls.py
112,157,5,5,scrapy/scrapy/core/downloader/__init__.py
113,96,0,0,scrapy/scrapy/core/downloader/contextfactory.py
114,2,0,0,scrapy/scrapy/core/downloader/handlers/http.py
115,17,1,1,scrapy/scrapy/core/downloader/handlers/datauri.py
116,384,11,11,scrapy/scrapy/core/downloader/handlers/http11.py
117,87,3,3,scrapy/scrapy/core/downloader/handlers/http2.py
118,14,0,0,scrapy/scrapy/core/downloader/handlers/file.py
119,66,1,1,scrapy/scrapy/core/downloader/handlers/__init__.py
120,32,0,0,scrapy/scrapy/core/downloader/handlers/http10.py
121,53,1,1,scrapy/scrapy/core/downloader/handlers/s3.py
122,103,3,3,scrapy/scrapy/core/downloader/handlers/ftp.py
123,68,1,1,scrapy/scrapy/selector/unified.py
