,file_loc,num_boolops,num_lines_with_boolops,file
0,22,0,0,sentry/conftest.py
1,51,0,0,sentry/setup.py
2,66,28,23,sentry/docker/sentry.conf.py
3,0,0,0,sentry/tests/__init__.py
4,16,0,0,sentry/tests/chartcuterie/test_chart_renderer.py
5,80,0,0,sentry/tests/relay_integration/test_sdk.py
6,83,0,0,sentry/tests/relay_integration/test_message_filters.py
7,45,0,0,sentry/tests/relay_integration/tests.py
8,0,0,0,sentry/tests/relay_integration/__init__.py
9,0,0,0,sentry/tests/relay_integration/lang/__init__.py
10,39,0,0,sentry/tests/relay_integration/lang/javascript/test_example.py
11,0,0,0,sentry/tests/relay_integration/lang/javascript/__init__.py
12,416,1,1,sentry/tests/relay_integration/lang/javascript/test_plugin.py
13,0,0,0,sentry/tests/relay_integration/lang/java/__init__.py
14,89,0,0,sentry/tests/relay_integration/lang/java/test_plugin.py
15,37,0,0,sentry/tests/snuba/test_util.py
16,0,0,0,sentry/tests/snuba/__init__.py
17,92,0,0,sentry/tests/snuba/test_snuba.py
18,26,0,0,sentry/tests/snuba/test_snql_snuba.py
19,0,0,0,sentry/tests/snuba/incidents/__init__.py
20,86,0,0,sentry/tests/snuba/incidents/test_tasks.py
21,0,0,0,sentry/tests/snuba/api/__init__.py
22,892,0,0,sentry/tests/snuba/api/endpoints/test_project_group_index.py
23,89,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_vitals.py
24,181,0,0,sentry/tests/snuba/api/endpoints/test_organization_tagkey_values.py
25,182,0,0,sentry/tests/snuba/api/endpoints/test_group_events.py
26,94,0,0,sentry/tests/snuba/api/endpoints/test_project_event_details.py
27,506,0,0,sentry/tests/snuba/api/endpoints/test_discover_key_transactions.py
28,1801,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_v2.py
29,40,0,0,sentry/tests/snuba/api/endpoints/test_organization_eventid.py
30,224,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_facets.py
31,246,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_meta.py
32,184,2,2,sentry/tests/snuba/api/endpoints/test_organization_stats_v2.py
33,209,0,0,sentry/tests/snuba/api/endpoints/test_discover_query.py
34,75,1,1,sentry/tests/snuba/api/endpoints/test_organization_events_facets_performance_histogram.py
35,103,0,0,sentry/tests/snuba/api/endpoints/test_organization_issues_resolved_in_release.py
36,102,0,0,sentry/tests/snuba/api/endpoints/test_group_details.py
37,116,0,0,sentry/tests/snuba/api/endpoints/test_organization_event_details.py
38,54,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_geo.py
39,604,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_trace.py
40,0,0,0,sentry/tests/snuba/api/endpoints/__init__.py
41,262,0,0,sentry/tests/snuba/api/endpoints/test_discover_saved_queries.py
42,420,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_histogram.py
43,341,0,0,sentry/tests/snuba/api/endpoints/test_organization_events_trends.py
44,584,7,7,sentry/tests/snuba/api/endpoints/test_organization_events_stats.py
45,1382,0,0,sentry/tests/snuba/api/endpoints/test_organization_group_index.py
46,33,0,0,sentry/tests/snuba/api/endpoints/test_group_events_oldest.py
47,41,0,0,sentry/tests/snuba/api/endpoints/test_project_events.py
48,123,1,1,sentry/tests/snuba/api/endpoints/test_organization_events_facets_performance.py
49,137,0,0,sentry/tests/snuba/api/endpoints/test_discover_saved_query_detail.py
50,112,0,0,sentry/tests/snuba/api/endpoints/test_organization_tags.py
51,33,0,0,sentry/tests/snuba/api/endpoints/test_group_events_latest.py
52,49,0,0,sentry/tests/snuba/api/endpoints/test_organization_group_index_stats.py
53,20,0,0,sentry/tests/snuba/api/endpoints/test_project_tags.py
54,191,2,2,sentry/tests/snuba/api/endpoints/test_organization_sessions.py
55,0,0,0,sentry/tests/snuba/api/serializers/__init__.py
56,254,0,0,sentry/tests/snuba/api/serializers/test_group.py
57,131,0,0,sentry/tests/snuba/snuba/test_query_subscription_consumer.py
58,0,0,0,sentry/tests/snuba/snuba/__init__.py
59,19,0,0,sentry/tests/snuba/models/test_group.py
60,181,0,0,sentry/tests/snuba/sessions/test_sessions_v2.py
61,0,0,0,sentry/tests/snuba/sessions/__init__.py
62,379,0,0,sentry/tests/snuba/sessions/test_sessions.py
63,0,0,0,sentry/tests/snuba/tsdb/__init__.py
64,158,5,3,sentry/tests/snuba/tsdb/test_tsdb_backend.py
65,61,0,0,sentry/tests/snuba/eventstream/test_eventstream.py
66,0,0,0,sentry/tests/snuba/eventstream/__init__.py
67,183,0,0,sentry/tests/snuba/tasks/test_unmerge.py
68,0,0,0,sentry/tests/snuba/rules/__init__.py
69,0,0,0,sentry/tests/snuba/rules/conditions/test_event_frequency.py
70,0,0,0,sentry/tests/snuba/rules/conditions/__init__.py
71,797,0,0,sentry/tests/snuba/search/test_backend.py
72,0,0,0,sentry/tests/snuba/search/__init__.py
73,189,0,0,sentry/tests/snuba/tagstore/test_tagstore_backend.py
74,0,0,0,sentry/tests/snuba/tagstore/__init__.py
75,0,0,0,sentry/tests/apidocs/__init__.py
76,35,0,0,sentry/tests/apidocs/util.py
77,24,0,0,sentry/tests/apidocs/endpoints/projects/test-service-hooks.py
78,20,0,0,sentry/tests/apidocs/endpoints/projects/test-keys.py
79,18,0,0,sentry/tests/apidocs/endpoints/projects/test-users.py
80,15,0,0,sentry/tests/apidocs/endpoints/projects/test-key-details.py
81,16,0,0,sentry/tests/apidocs/endpoints/projects/test-project-stats.py
82,17,0,0,sentry/tests/apidocs/endpoints/projects/test-project-index.py
83,20,0,0,sentry/tests/apidocs/endpoints/projects/test-details.py
