,file_loc,num_boolops,num_lines_with_boolops,file
0,29,0,0,superset/setup.py
1,50,0,0,superset/docker/pythonpath_dev/superset_config.py
2,277,2,2,superset/RELEASING/changelog.py
3,126,0,0,superset/RELEASING/send_email.py
4,37,1,1,superset/scripts/permissions_cleanup.py
5,127,4,3,superset/scripts/cancel_github_workflows.py
6,150,3,3,superset/scripts/benchmark_migration.py
7,6,0,0,superset/tests/test_app.py
8,51,0,0,superset/tests/superset_test_config.py
9,171,1,1,superset/tests/datasource_tests.py
10,262,0,0,superset/tests/jinja_context_tests.py
11,277,2,1,superset/tests/pandas_postprocessing_tests.py
12,109,0,0,superset/tests/event_logger_tests.py
13,92,1,1,superset/tests/conftest.py
14,303,0,0,superset/tests/sql_parse_tests.py
15,344,0,0,superset/tests/dashboard_tests.py
16,223,0,0,superset/tests/dict_import_export_tests.py
17,133,0,0,superset/tests/email_tests.py
18,438,0,0,superset/tests/sqllab_tests.py
19,4,0,0,superset/tests/superset_test_config_sqllab_backend_persist.py
20,118,0,0,superset/tests/result_set_tests.py
21,24,0,0,superset/tests/dynamic_plugins_tests.py
22,37,0,0,superset/tests/logging_configurator_tests.py
23,284,2,2,superset/tests/model_tests.py
24,525,0,0,superset/tests/utils_tests.py
25,119,0,0,superset/tests/cli_tests.py
26,151,0,0,superset/tests/sql_validator_tests.py
27,33,0,0,superset/tests/superset_test_custom_template_processors.py
28,300,0,0,superset/tests/access_tests.py
29,425,7,7,superset/tests/import_export_tests.py
30,139,0,0,superset/tests/strategy_tests.py
31,152,0,0,superset/tests/sqla_models_tests.py
32,31,0,0,superset/tests/stats_logger_tests.py
33,93,2,2,superset/tests/config_tests.py
34,0,0,0,superset/tests/__init__.py
35,55,0,0,superset/tests/cache_tests.py
36,19,0,0,superset/tests/log_model_view_tests.py
37,105,0,0,superset/tests/log_api_tests.py
38,327,0,0,superset/tests/druid_tests.py
39,250,1,1,superset/tests/celery_tests.py
40,36,0,0,superset/tests/superset_test_config_thumbnails.py
41,193,0,0,superset/tests/alerts_tests.py
42,23,0,0,superset/tests/dataframe_test.py
43,42,0,0,superset/tests/dashboard_utils.py
44,24,0,0,superset/tests/sqla_views_tests.py
45,19,0,0,superset/tests/insert_chart_mixin.py
46,185,0,0,superset/tests/base_api_tests.py
47,367,7,7,superset/tests/base_tests.py
48,296,0,0,superset/tests/schedules_test.py
49,14,0,0,superset/tests/migration_tests.py
50,722,0,0,superset/tests/viz_tests.py
51,17,0,0,superset/tests/commands_test.py
52,179,0,0,superset/tests/thumbnails_tests.py
53,644,0,0,superset/tests/druid_func_tests.py
54,306,0,0,superset/tests/query_context_tests.py
55,175,0,0,superset/tests/csv_upload_tests.py
56,16,0,0,superset/tests/tagging_tests.py
57,645,0,0,superset/tests/druid_func_tests_sip38.py
58,731,1,1,superset/tests/security_tests.py
59,17,0,0,superset/tests/feature_flag_tests.py
60,18,0,0,superset/tests/form_tests.py
61,885,0,0,superset/tests/core_tests.py
62,220,0,0,superset/tests/queries/api_tests.py
63,0,0,0,superset/tests/queries/__init__.py
64,118,0,0,superset/tests/queries/saved_queries/commands_tests.py
65,538,0,0,superset/tests/queries/saved_queries/api_tests.py
66,0,0,0,superset/tests/queries/saved_queries/__init__.py
67,309,0,0,superset/tests/databases/commands_tests.py
68,925,0,0,superset/tests/databases/api_tests.py
69,0,0,0,superset/tests/databases/__init__.py
70,61,0,0,superset/tests/databases/schema_tests.py
71,48,0,0,superset/tests/reports/scheduler_tests.py
72,657,3,3,superset/tests/reports/commands_tests.py
73,634,0,0,superset/tests/reports/api_tests.py
74,0,0,0,superset/tests/reports/__init__.py
75,17,4,4,superset/tests/reports/utils.py
76,124,0,0,superset/tests/charts/commands_tests.py
77,1323,0,0,superset/tests/charts/api_tests.py
78,0,0,0,superset/tests/charts/__init__.py
79,52,0,0,superset/tests/charts/schema_tests.py
80,257,0,0,superset/tests/css_templates/api_tests.py
81,0,0,0,superset/tests/css_templates/__init__.py
82,20,0,0,superset/tests/importexport/commands_tests.py
83,475,0,0,superset/tests/annotation_layers/api_tests.py
84,0,0,0,superset/tests/annotation_layers/__init__.py
85,49,0,0,superset/tests/annotation_layers/fixtures.py
86,58,0,0,superset/tests/cachekeys/api_tests.py
