,file_loc,num_boolops,num_lines_with_boolops,file
0,23,0,0,aws-cli/setup.py
1,28,0,0,aws-cli/doc/source/conf.py
2,11,0,0,aws-cli/doc/source/bootstrapdocs.py
3,64,1,1,aws-cli/doc/source/guzzle_sphinx_theme/__init__.py
4,197,1,1,aws-cli/scripts/performance/benchmark_utils.py
5,213,2,2,aws-cli/tests/__init__.py
6,24,0,0,aws-cli/tests/functional/test_utils.py
7,44,0,0,aws-cli/tests/functional/test_timeformat.py
8,25,0,0,aws-cli/tests/functional/test_args.py
9,27,0,0,aws-cli/tests/functional/test_api_versions.py
10,22,0,0,aws-cli/tests/functional/test_streaming_output.py
11,0,0,0,aws-cli/tests/functional/__init__.py
12,122,0,0,aws-cli/tests/functional/test_paramfile.py
13,60,0,0,aws-cli/tests/functional/test_generatecliskeleton.py
14,23,1,1,aws-cli/tests/functional/test_no_event_streams.py
15,46,0,0,aws-cli/tests/functional/test_shadowing.py
16,57,0,0,aws-cli/tests/functional/test_preview.py
17,139,0,0,aws-cli/tests/functional/test_alias.py
18,9,0,0,aws-cli/tests/functional/test_table.py
19,38,0,0,aws-cli/tests/functional/test_cliinputjson.py
20,0,0,0,aws-cli/tests/functional/cloudtrail/__init__.py
21,194,1,1,aws-cli/tests/functional/cloudtrail/test_validation.py
22,12,0,0,aws-cli/tests/functional/ecr_public/test_get_login_password.py
23,0,0,0,aws-cli/tests/functional/ecr_public/__init__.py
24,35,0,0,aws-cli/tests/functional/configure/test_addmodel.py
25,0,0,0,aws-cli/tests/functional/configure/__init__.py
26,0,0,0,aws-cli/tests/functional/sagemaker/__init__.py
27,10,0,0,aws-cli/tests/functional/sagemaker/test_alias.py
28,59,0,0,aws-cli/tests/functional/ses/test_send_email.py
29,0,0,0,aws-cli/tests/functional/ses/__init__.py
30,0,0,0,aws-cli/tests/functional/codeartifact/__init__.py
31,454,1,1,aws-cli/tests/functional/codeartifact/test_codeartifact_login.py
32,143,0,0,aws-cli/tests/functional/rekognition/test_image_parameters.py
33,0,0,0,aws-cli/tests/functional/rekognition/__init__.py
34,35,0,0,aws-cli/tests/functional/ssm/test_start_session.py
35,0,0,0,aws-cli/tests/functional/ssm/__init__.py
36,10,0,0,aws-cli/tests/functional/firehose/test_put_record_batch.py
37,0,0,0,aws-cli/tests/functional/firehose/__init__.py
38,19,0,0,aws-cli/tests/functional/route53domains/test_view_billing.py
39,0,0,0,aws-cli/tests/functional/route53domains/__init__.py
40,25,0,0,aws-cli/tests/functional/elb/test_configure_health_check.py
41,10,0,0,aws-cli/tests/functional/elb/test_remove_tags.py
42,10,0,0,aws-cli/tests/functional/elb/test_deregister_instances_from_load_balancer.py
43,64,0,0,aws-cli/tests/functional/elb/test_register_instances_with_load_balancer.py
44,0,0,0,aws-cli/tests/functional/elb/__init__.py
45,10,0,0,aws-cli/tests/functional/elb/test_describe_instance_health.py
46,29,0,0,aws-cli/tests/functional/eks/test_util.py
47,314,0,0,aws-cli/tests/functional/eks/test_update_kubeconfig.py
48,0,0,0,aws-cli/tests/functional/eks/__init__.py
49,85,0,0,aws-cli/tests/functional/eks/test_get_token.py
50,84,0,0,aws-cli/tests/functional/eks/test_kubeconfig.py
51,24,0,0,aws-cli/tests/functional/cloudfront/test_update_distribution.py
52,10,0,0,aws-cli/tests/functional/cloudfront/test_get_distribution_config.py
53,0,0,0,aws-cli/tests/functional/cloudfront/__init__.py
54,35,0,0,aws-cli/tests/functional/cloudfront/test_create_distribution.py
55,24,0,0,aws-cli/tests/functional/cloudfront/test_create_invalidation.py
56,30,0,0,aws-cli/tests/functional/cloudfront/test_sign.py
57,14,0,0,aws-cli/tests/functional/cognito_identity/test_create_identity_pool.py
58,0,0,0,aws-cli/tests/functional/cognito_identity/__init__.py
59,12,0,0,aws-cli/tests/functional/sesv2/test_put_account_details.py
60,0,0,0,aws-cli/tests/functional/sesv2/__init__.py
61,43,0,0,aws-cli/tests/functional/ec2/test_describe_volumes.py
62,64,0,0,aws-cli/tests/functional/ec2/test_security_group_operations.py
63,27,0,0,aws-cli/tests/functional/ec2/test_modify_image_attribute.py
64,11,0,0,aws-cli/tests/functional/ec2/test_create_image.py
