,file_loc,num_boolops,num_lines_with_boolops,file
0,116,3,3,chardet/test.py
1,11,0,0,chardet/setup.py
2,98,1,1,chardet/bench.py
3,130,2,2,chardet/convert_language_model.py
4,23,0,0,chardet/docs/conf.py
5,3,0,0,chardet/chardet/jisfreq.py
6,85,2,2,chardet/chardet/charsetprober.py
7,57,1,1,chardet/chardet/sjisprober.py
8,20,0,0,chardet/chardet/euctwprober.py
9,3,0,0,chardet/chardet/gb2312freq.py
10,4,0,0,chardet/chardet/langthaimodel.py
11,6,0,0,chardet/chardet/langgreekmodel.py
12,20,0,0,chardet/chardet/sbcsgroupprober.py
13,6,0,0,chardet/chardet/langbulgarianmodel.py
14,57,1,1,chardet/chardet/eucjpprober.py
15,20,0,0,chardet/chardet/euckrprober.py
16,4,0,0,chardet/chardet/langturkishmodel.py
17,91,0,0,chardet/chardet/sbcharsetprober.py
18,6,0,0,chardet/chardet/langhungarianmodel.py
19,17,0,0,chardet/chardet/mbcsgroupprober.py
20,56,0,0,chardet/chardet/codingstatemachine.py
21,178,2,2,chardet/chardet/universaldetector.py
22,20,0,0,chardet/chardet/big5prober.py
23,70,0,0,chardet/chardet/enums.py
24,1,0,0,chardet/chardet/johabfreq.py
25,20,0,0,chardet/chardet/cp949prober.py
26,71,1,1,chardet/chardet/escprober.py
27,60,0,0,chardet/chardet/latin1prober.py
28,169,4,4,chardet/chardet/chardistribution.py
29,45,0,0,chardet/chardet/mbcssm.py
30,3,0,0,chardet/chardet/euctwfreq.py
31,58,3,3,chardet/chardet/__init__.py
32,3,0,0,chardet/chardet/big5freq.py
33,20,0,0,chardet/chardet/gb2312prober.py
34,87,2,2,chardet/chardet/hebrewprober.py
35,51,0,0,chardet/chardet/utf8prober.py
36,4,0,0,chardet/chardet/langhebrewmodel.py
37,8,0,0,chardet/chardet/version.py
38,98,6,6,chardet/chardet/jpcntx.py
39,80,0,0,chardet/chardet/charsetgroupprober.py
40,55,1,1,chardet/chardet/mbcharsetprober.py
41,20,0,0,chardet/chardet/johabprober.py
42,3,0,0,chardet/chardet/euckrfreq.py
43,14,0,0,chardet/chardet/langrussianmodel.py
44,17,0,0,chardet/chardet/escsm.py
45,48,0,0,chardet/chardet/metadata/languages.py
46,0,0,0,chardet/chardet/metadata/__init__.py
47,0,0,0,chardet/chardet/cli/__init__.py
48,59,0,0,chardet/chardet/cli/chardetect.py
