,file_loc,num_boolops,num_lines_with_boolops,file
0,20,0,0,idna/setup.py
1,12,0,0,idna/idna/compat.py
2,47,0,0,idna/idna/intranges.py
3,244,0,0,idna/idna/uts46data.py
4,4,0,0,idna/idna/__init__.py
5,86,0,0,idna/idna/codec.py
6,322,15,14,idna/idna/core.py
7,4,0,0,idna/idna/idnadata.py
8,1,0,0,idna/idna/package_data.py
9,15,0,0,idna/tests/test_idna_compat.py
10,9,0,0,idna/tests/test_idna_other.py
11,39,0,0,idna/tests/test_idna_codec.py
12,0,0,0,idna/tests/__init__.py
13,37,0,0,idna/tests/test_intranges.py
14,94,0,0,idna/tests/test_idna_uts46.py
15,162,0,0,idna/tests/test_idna.py
16,47,0,0,idna/tools/intranges.py
