,file_loc,num_boolops,num_lines_with_boolops,file
0,230,4,4,numpy/setup.py
1,1011,10,10,numpy/versioneer.py
2,177,0,0,numpy/pavement.py
3,477,9,9,numpy/runtests.py
4,101,0,0,numpy/doc/example.py
5,38,1,1,numpy/doc/postprocess.py
6,36,0,0,numpy/doc/neps/conf.py
7,38,0,0,numpy/doc/neps/nep-0016-benchmark.py
8,68,3,2,numpy/doc/neps/tools/build_index.py
9,166,1,1,numpy/doc/source/conf.py
10,6,0,0,numpy/doc/source/f2py/setup_example.py
11,7,0,0,numpy/doc/source/user/plot_gray.py
12,4,0,0,numpy/doc/source/user/plot_face.py
13,12,0,0,numpy/doc/source/user/plot_gray_svd.py
14,14,0,0,numpy/doc/source/user/plot_approx.py
15,14,0,0,numpy/doc/source/user/plot_final.py
16,13,0,0,numpy/doc/source/user/plot_reconstructed.py
17,11,0,0,numpy/doc/source/user/plots/matplotlib3.py
18,7,0,0,numpy/doc/source/user/plots/matplotlib2.py
19,5,0,0,numpy/doc/source/user/plots/matplotlib1.py
20,60,0,0,numpy/doc/source/reference/random/performance.py
21,141,2,2,numpy/doc/source/reference/simd/simd-optimizations.py
22,79,1,1,numpy/doc/cdoc/numpyfilter.py
23,159,0,0,numpy/numpy/_pytesttester.py
24,10,0,0,numpy/numpy/_distributor_init.py
25,70,0,0,numpy/numpy/conftest.py
26,25,0,0,numpy/numpy/setup.py
27,444,6,6,numpy/numpy/ctypeslib.py
28,75,0,0,numpy/numpy/_globals.py
29,274,1,1,numpy/numpy/__init__.py
30,9,1,1,numpy/numpy/version.py
31,377,4,4,numpy/numpy/_version.py
32,362,0,0,numpy/numpy/matlib.py
33,65,0,0,numpy/numpy/dual.py
34,564,19,19,numpy/numpy/f2py/capi_maps.py
35,195,2,2,numpy/numpy/f2py/f90mod_rules.py
36,34,0,0,numpy/numpy/f2py/setup.py
37,2,0,0,numpy/numpy/f2py/__main__.py
38,40,0,0,numpy/numpy/f2py/f2py_testing.py
39,680,50,47,numpy/numpy/f2py/auxfuncs.py
40,1,0,0,numpy/numpy/f2py/__version__.py
41,487,8,8,numpy/numpy/f2py/f2py2e.py
42,2960,122,114,numpy/numpy/f2py/crackfortran.py
43,135,1,1,numpy/numpy/f2py/diagnose.py
44,131,0,0,numpy/numpy/f2py/common_rules.py
45,117,0,0,numpy/numpy/f2py/__init__.py
46,65,1,1,numpy/numpy/f2py/use_rules.py
47,261,4,4,numpy/numpy/f2py/func2subr.py
48,332,12,8,numpy/numpy/f2py/rules.py
49,263,1,1,numpy/numpy/f2py/cfuncs.py
50,126,15,10,numpy/numpy/f2py/cb_rules.py
51,14,0,0,numpy/numpy/f2py/tests/test_quoted_character.py
52,61,0,0,numpy/numpy/f2py/tests/test_compile_function.py
53,19,0,0,numpy/numpy/f2py/tests/test_common.py
54,47,0,0,numpy/numpy/f2py/tests/test_return_integer.py
55,20,0,0,numpy/numpy/f2py/tests/test_kind.py
56,81,0,0,numpy/numpy/f2py/tests/test_parameter.py
57,40,0,0,numpy/numpy/f2py/tests/test_assumed_shape.py
58,97,0,0,numpy/numpy/f2py/tests/test_string.py
59,57,0,0,numpy/numpy/f2py/tests/test_return_complex.py
60,493,15,12,numpy/numpy/f2py/tests/test_array_from_pyobj.py
61,13,0,0,numpy/numpy/f2py/tests/test_block_docstring.py
62,22,0,0,numpy/numpy/f2py/tests/test_semicolon_split.py
63,0,0,0,numpy/numpy/f2py/tests/__init__.py
64,17,0,0,numpy/numpy/f2py/tests/test_module_doc.py
65,63,0,0,numpy/numpy/f2py/tests/test_return_logical.py
66,39,0,0,numpy/numpy/f2py/tests/test_size.py
67,21,0,0,numpy/numpy/f2py/tests/test_mixed.py
68,20,0,0,numpy/numpy/f2py/tests/test_abstract_interface.py
69,67,0,0,numpy/numpy/f2py/tests/test_return_real.py
70,28,0,0,numpy/numpy/f2py/tests/test_regression.py
71,44,0,0,numpy/numpy/f2py/tests/test_return_character.py
72,71,0,0,numpy/numpy/f2py/tests/test_crackfortran.py
73,173,0,0,numpy/numpy/f2py/tests/test_callback.py
