,file_loc,num_boolops,num_lines_with_boolops,file
0,40,0,0,requests/setup.py
1,58,0,0,requests/tests/test_structures.py
2,385,2,1,requests/tests/test_utils.py
3,17,0,0,requests/tests/compat.py
4,17,0,0,requests/tests/conftest.py
5,194,0,0,requests/tests/test_lowlevel.py
6,5,0,0,requests/tests/__init__.py
7,12,0,0,requests/tests/test_hooks.py
8,131,0,0,requests/tests/test_testserver.py
9,24,0,0,requests/tests/test_help.py
10,1978,2,2,requests/tests/test_requests.py
11,16,0,0,requests/tests/utils.py
12,10,0,0,requests/tests/test_packages.py
13,101,1,1,requests/tests/testserver/server.py
14,0,0,0,requests/tests/testserver/__init__.py
15,499,22,22,requests/requests/sessions.py
16,404,7,7,requests/requests/adapters.py
17,44,0,0,requests/requests/compat.py
18,69,0,0,requests/requests/help.py
19,35,0,0,requests/requests/_internal_utils.py
20,89,0,0,requests/requests/structures.py
21,693,22,22,requests/requests/models.py
22,219,4,4,requests/requests/auth.py
23,10,0,0,requests/requests/__version__.py
24,137,0,0,requests/requests/api.py
25,36,0,0,requests/requests/status_codes.py
26,471,15,14,requests/requests/cookies.py
27,93,0,0,requests/requests/__init__.py
28,6,1,1,requests/requests/packages.py
29,98,1,1,requests/requests/exceptions.py
30,14,0,0,requests/requests/certs.py
31,28,1,1,requests/requests/hooks.py
32,739,14,14,requests/requests/utils.py
33,39,0,0,requests/docs/conf.py
34,7,0,0,requests/docs/_themes/flask_theme_support.py
