,file_loc,num_boolops,num_lines_with_boolops,file
0,27,0,0,urllib3/setup.py
1,79,1,1,urllib3/noxfile.py
2,147,1,1,urllib3/dummyserver/server.py
3,225,1,1,urllib3/dummyserver/testcase.py
4,0,0,0,urllib3/dummyserver/__init__.py
5,267,2,2,urllib3/dummyserver/handlers.py
6,92,2,2,urllib3/dummyserver/proxy.py
7,63,0,0,urllib3/src/urllib3/filepost.py
8,414,5,5,urllib3/src/urllib3/poolmanager.py
9,657,13,13,urllib3/src/urllib3/response.py
10,614,19,19,urllib3/src/urllib3/connectionpool.py
11,215,2,2,urllib3/src/urllib3/fields.py
12,56,0,0,urllib3/src/urllib3/__init__.py
13,7,0,0,urllib3/src/urllib3/_compat.py
14,129,1,1,urllib3/src/urllib3/request.py
15,338,5,5,urllib3/src/urllib3/_collections.py
16,308,9,9,urllib3/src/urllib3/connection.py
17,1,0,0,urllib3/src/urllib3/_version.py
18,250,1,1,urllib3/src/urllib3/exceptions.py
19,354,15,15,urllib3/src/urllib3/util/retry.py
20,58,1,1,urllib3/src/urllib3/util/response.py
21,222,4,4,urllib3/src/urllib3/util/timeout.py
22,288,16,14,urllib3/src/urllib3/util/url.py
23,228,6,6,urllib3/src/urllib3/util/ssltransport.py
24,9,0,0,urllib3/src/urllib3/util/__init__.py
25,113,1,1,urllib3/src/urllib3/util/request.py
26,77,3,3,urllib3/src/urllib3/util/ssl_match_hostname.py
27,91,0,0,urllib3/src/urllib3/util/connection.py
28,64,3,3,urllib3/src/urllib3/util/wait.py
29,245,11,10,urllib3/src/urllib3/util/ssl_.py
30,35,2,2,urllib3/src/urllib3/util/proxy.py
31,29,6,4,urllib3/src/urllib3/util/util.py
32,133,1,1,urllib3/src/urllib3/contrib/socks.py
33,0,0,0,urllib3/src/urllib3/contrib/__init__.py
34,362,7,7,urllib3/src/urllib3/contrib/pyopenssl.py
35,76,0,0,urllib3/src/urllib3/contrib/ntlmpool.py
36,556,9,9,urllib3/src/urllib3/contrib/securetransport.py
37,0,0,0,urllib3/src/urllib3/contrib/_securetransport/__init__.py
38,287,0,0,urllib3/src/urllib3/contrib/_securetransport/bindings.py
39,245,1,1,urllib3/src/urllib3/contrib/_securetransport/low_level.py
40,31,0,0,urllib3/docs/conf.py
41,24,0,0,urllib3/test/test_queue_monkeypatch.py
42,18,0,0,urllib3/test/test_exceptions.py
43,438,1,1,urllib3/test/test_util.py
44,119,5,5,urllib3/test/conftest.py
45,266,1,1,urllib3/test/test_retry.py
46,312,0,0,urllib3/test/test_collections.py
47,101,0,0,urllib3/test/test_connection.py
48,343,0,0,urllib3/test/test_connectionpool.py
49,31,0,0,urllib3/test/tz_stub.py
50,248,0,0,urllib3/test/test_poolmanager.py
51,46,0,0,urllib3/test/test_filepost.py
52,248,2,2,urllib3/test/__init__.py
53,64,0,0,urllib3/test/test_proxymanager.py
54,105,1,1,urllib3/test/test_ssl.py
55,813,1,1,urllib3/test/test_response.py
56,33,0,0,urllib3/test/test_no_ssl.py
57,405,0,0,urllib3/test/test_ssltransport.py
58,39,0,0,urllib3/test/benchmark.py
59,74,0,0,urllib3/test/test_fields.py
60,140,0,0,urllib3/test/test_wait.py
61,15,0,0,urllib3/test/test_compatibility.py
62,92,1,1,urllib3/test/port_helpers.py
63,50,0,0,urllib3/test/contrib/test_pyopenssl_dependencies.py
64,31,0,0,urllib3/test/contrib/test_securetransport.py
65,71,0,0,urllib3/test/contrib/test_pyopenssl.py
66,0,0,0,urllib3/test/contrib/__init__.py
67,549,2,2,urllib3/test/contrib/test_socks.py
68,332,0,0,urllib3/test/with_dummyserver/test_proxy_poolmanager.py
69,870,1,1,urllib3/test/with_dummyserver/test_connectionpool.py
70,206,0,0,urllib3/test/with_dummyserver/test_poolmanager.py
71,0,0,0,urllib3/test/with_dummyserver/__init__.py
72,161,0,0,urllib3/test/with_dummyserver/test_chunked_transfer.py
73,1147,2,2,urllib3/test/with_dummyserver/test_socketlevel.py
74,26,0,0,urllib3/test/with_dummyserver/test_no_ssl.py
75,513,3,3,urllib3/test/with_dummyserver/test_https.py
