,test_name,code_len,dumb_dyn_slice,dyn_slice,pruned_slice,dumb_dyn_slice_len,pruned_slice_len,dyn_slice_len,runtime_bare_test,runtime_tracing_augmented_test,runtime_dyn_slice,runtime_pruned_slice,perf_runtime_bare_test,perf_runtime_tracing_augmented_test,perf_runtime_dyn_slice,perf_runtime_pruned_slice,len_exec_trace,test_result,sliced_result_equal_to_bare,exception,stage,num_boolops_pruned_sliced,num_lines_with_boolops_pruned_sliced,num_boolops_dyn_sliced,num_lines_with_boolops_dyn_sliced,num_boolops,num_lines_with_boolops,benchmark,test_status
0,benchmark/quixbugs/correct_python_programs/kheapsort.py#0:,,,,,,,,,,,,,,,,,,,"<class 'slicing.slicing_exceptions.SlicingException'>('Yield not supported',)",trace,,,,,0,0,quixbugs,Not supported
1,benchmark/quixbugs/correct_python_programs/kheapsort.py#1:,,,,,,,,,,,,,,,,,,,"<class 'slicing.slicing_exceptions.SlicingException'>('Yield not supported',)",trace,,,,,0,0,quixbugs,Not supported
2,benchmark/quixbugs/correct_python_programs/kheapsort.py#2:,,,,,,,,,,,,,,,,,,,"<class 'slicing.slicing_exceptions.SlicingException'>('Yield not supported',)",trace,,,,,0,0,quixbugs,Not supported
3,benchmark/quixbugs/correct_python_programs/kheapsort.py#3:,,,,,,,,,,,,,,,,,,,"<class 'slicing.slicing_exceptions.SlicingException'>('Yield not supported',)",trace,,,,,0,0,quixbugs,Not supported
46,benchmark/quixbugs/correct_python_programs/possible_change.py#2:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),dyn slice,,,,,1,1,quixbugs,General Timeout
49,benchmark/quixbugs/correct_python_programs/possible_change.py#5:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),trace,,,,,1,1,quixbugs,General Timeout
50,benchmark/quixbugs/correct_python_programs/possible_change.py#6:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),trace,,,,,1,1,quixbugs,General Timeout
51,benchmark/quixbugs/correct_python_programs/possible_change.py#7:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),trace,,,,,1,1,quixbugs,General Timeout
52,benchmark/quixbugs/correct_python_programs/possible_change.py#8:,,,,,,,,,,,,,,,,,,,<class 'timeout_decorator.timeout_decorator.TimeoutError'>(),trace,,,,,1,1,quixbugs,General Timeout
67,benchmark/quixbugs/correct_python_programs/hanoi.py#1:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'helper' is not defined"",)",run sliced,,,,,0,0,quixbugs,Other Exception
