,test_name,code_len,dumb_dyn_slice,dyn_slice,pruned_slice,dumb_dyn_slice_len,pruned_slice_len,dyn_slice_len,runtime_bare_test,runtime_tracing_augmented_test,runtime_dyn_slice,runtime_pruned_slice,perf_runtime_bare_test,perf_runtime_tracing_augmented_test,perf_runtime_dyn_slice,perf_runtime_pruned_slice,len_exec_trace,test_result,sliced_result_equal_to_bare,exception,stage,num_boolops_pruned_sliced,num_lines_with_boolops_pruned_sliced,num_boolops_dyn_sliced,num_lines_with_boolops_dyn_sliced,num_boolops,num_lines_with_boolops,benchmark,test_status
67,benchmark/quixbugs/correct_python_programs/hanoi.py#1:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'helper' is not defined"",)",run sliced,,,,,0,0,quixbugs,Other Exception
12983,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#0:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12984,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#1:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12985,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#2:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12986,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#3:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12987,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#4:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12988,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#5:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12989,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#6:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12990,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#7:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12991,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#8:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12992,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#9:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12993,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#10:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12994,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#11:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12995,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#12:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12996,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#13:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12997,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#14:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12998,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#15:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
12999,benchmark/refactory/data/question_2/code/fail/wrong_2_107.py#16:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13000,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#0:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13001,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#1:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13002,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#2:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13003,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#3:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13004,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#4:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13005,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#5:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13006,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#6:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13007,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#7:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13008,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#8:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13009,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#9:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13010,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#10:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13011,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#11:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13012,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#12:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13013,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#13:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
13014,benchmark/refactory/data/question_2/code/fail/wrong_2_108.py#14:,,,,,,,,,,,,,,,,,,,"<class 'NameError'>(""name 'count_dates' is not defined"",)",run sliced,,,,,0,0,refactory,Other Exception
