,test_name,code_len,dumb_dyn_slice,dyn_slice,pruned_slice,dumb_dyn_slice_len,pruned_slice_len,dyn_slice_len,runtime_bare_test,runtime_tracing_augmented_test,runtime_dyn_slice,runtime_pruned_slice,perf_runtime_bare_test,perf_runtime_tracing_augmented_test,perf_runtime_dyn_slice,perf_runtime_pruned_slice,len_exec_trace,test_result,sliced_result_equal_to_bare,exception,stage,num_boolops_pruned_sliced,num_lines_with_boolops_pruned_sliced,num_boolops_dyn_sliced,num_lines_with_boolops_dyn_sliced,num_boolops,num_lines_with_boolops,benchmark,test_status
20212,benchmark/refactory/data/question_3/code/correct/correct_3_121.py#3:,11.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}",11.0,8.0,8.0,9.883000529953278e-07,0.0004919131500173,0.0003179768500558,0.0003168177000588,9.026699990499763e-05,0.0005530429989448,0.000513110000611,0.0003133700010948,91.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20213,benchmark/refactory/data/question_3/code/correct/correct_3_121.py#4:,11.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}",11.0,8.0,8.0,9.893499736790546e-07,0.0004935957999805,0.0003167595499689,0.000316147400008,8.744200022192672e-05,0.0005492669988598,0.0003136300001642,0.0003154430014546,91.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20214,benchmark/refactory/data/question_3/code/correct/correct_3_121.py#5:,11.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}",11.0,8.0,8.0,9.832999239733908e-07,0.0004946557500261,0.0003160051999657,0.0003151550999973,9.055800001078752e-05,0.0005488860006153,0.0003102840000792,0.0003142009991279,91.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20251,benchmark/refactory/data/question_3/code/correct/correct_3_075.py#0:,14.0,"{1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14}","{1, 4, 14}","{1, 4, 14}",12.0,3.0,3.0,1.395599974785e-06,0.0005532647500331,0.0001893198000288,0.0001853318999565,0.0001161849995696,0.0006254079999052,0.0001833499991334,0.0001832489997468,63.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20252,benchmark/refactory/data/question_3/code/correct/correct_3_075.py#1:,14.0,"{1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14}","{1, 4, 14}","{1, 4, 14}",12.0,3.0,3.0,1.628499921935145e-06,0.0005766204500105,0.0002128137500221,0.0002108992000103,0.0001160249994427,0.0006461850007326,0.0002088159999402,0.0002080949998344,73.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20254,benchmark/refactory/data/question_3/code/correct/correct_3_075.py#3:,14.0,"{1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14}","{1, 4, 14}","{1, 4, 14}",12.0,3.0,3.0,1.3309499991009943e-06,0.0005466744999466,0.0001767535499311,0.0001746195999658,0.0001133300011133,0.0006138059998193,0.0001739919989631,0.0003890299994964,59.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20255,benchmark/refactory/data/question_3/code/correct/correct_3_075.py#4:,14.0,"{1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14}","{1, 4, 14}","{1, 4, 14}",12.0,3.0,3.0,1.3013999705435707e-06,0.0005454316499708,0.0001769464000062,0.0001745645000482,0.000114222000775,0.0006078950009396,0.0001750240007822,0.0001729699997667,59.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20256,benchmark/refactory/data/question_3/code/correct/correct_3_075.py#5:,14.0,"{1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 13, 14}","{1, 4, 14}","{1, 4, 14}",12.0,3.0,3.0,1.3034000403422397e-06,0.0005695793499398,0.0001772349500242,0.0001767520499925,0.0001120279994211,0.0006993340011831,0.0001740619991323,0.0001756450001266,59.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20308,benchmark/refactory/data/question_3/code/correct/correct_3_280.py#3:,12.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}","{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12}","{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12}",12.0,11.0,11.0,9.176999810733832e-07,0.0004743692499687,0.0004090334000466,0.0004102210499695,9.256100020138548e-05,0.0005314329991961,0.0004055209992657,0.0004098989993508,75.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20309,benchmark/refactory/data/question_3/code/correct/correct_3_280.py#4:,12.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}","{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12}","{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12}",12.0,11.0,11.0,8.78650007507531e-07,0.0004725323499769,0.0004090032999556,0.0004086215500137,9.492599929217248e-05,0.000536383000508,0.0004036460013594,0.0006107600001996,75.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
20310,benchmark/refactory/data/question_3/code/correct/correct_3_280.py#5:,12.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}","{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12}","{1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12}",12.0,11.0,11.0,8.840999726089648e-07,0.0004736739500003,0.0004083320499375,0.0004069920500114,8.864399933372624e-05,0.000539448001291,0.0004058809990965,0.0004136450006626,75.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21238,benchmark/refactory/data/question_3/code/correct/correct_3_411.py#3:,11.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}",11.0,8.0,8.0,1.0508999366720672e-06,0.0005353138499231,0.0003175026999997,0.0003154954499223,0.0001015580000967,0.0006259490000957,0.0005625110006803,0.0003140019998681,91.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21239,benchmark/refactory/data/question_3/code/correct/correct_3_411.py#4:,11.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}",11.0,8.0,8.0,9.802999556995928e-07,0.0005021089500587,0.0003164687500429,0.0003139791499961,9.096899884752928e-05,0.0005558089997066,0.0003126789997622,0.0003144620004604,91.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21240,benchmark/refactory/data/question_3/code/correct/correct_3_411.py#5:,11.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}","{1, 2, 3, 4, 8, 9, 10, 11}",11.0,8.0,8.0,1.0033500075223856e-06,0.0005192395499761,0.0003182129999913,0.000316410150026,9.633800073061138e-05,0.0006102400002419,0.0003295899987278,0.0003143119993183,91.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21325,benchmark/refactory/data/question_3/code/correct/correct_3_435.py#0:,19.0,"{1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","{1, 18, 19}","{1, 18, 19}",17.0,3.0,3.0,8.59595002111746e-06,0.0009391203499944,0.0003355080500114,0.000329441300073,0.0002019139992626,0.0010489020005479,0.0006844570016255,0.0003336170011607,133.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21326,benchmark/refactory/data/question_3/code/correct/correct_3_435.py#1:,19.0,"{1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","{1, 18, 19}","{1, 18, 19}",17.0,3.0,3.0,9.195549955620665e-06,0.0010651416500877,0.0004461998999431,0.000444673649963,0.0001916140008688,0.001166137999462,0.000442849999672,0.0004397439988679,191.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21328,benchmark/refactory/data/question_3/code/correct/correct_3_435.py#3:,19.0,"{1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","{1, 18, 19}","{1, 18, 19}",17.0,3.0,3.0,6.287650012382073e-06,0.0010221165000075,0.0004076410499692,0.0004075028499755,0.0001909640013764,0.0011217669998586,0.0004031359985674,0.0004137859996262,174.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21329,benchmark/refactory/data/question_3/code/correct/correct_3_435.py#4:,19.0,"{1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","{1, 18, 19}","{1, 18, 19}",17.0,3.0,3.0,6.639299954258604e-06,0.0010301318499841,0.0004095541000424,0.0004058557999996,0.0001904820001072,0.0011405409986764,0.0004052909989695,0.000404628999604,174.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21330,benchmark/refactory/data/question_3/code/correct/correct_3_435.py#5:,19.0,"{1, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19}","{1, 18, 19}","{1, 18, 19}",17.0,3.0,3.0,6.42790000711102e-06,0.0010282272999575,0.0004078173999914,0.0004069923499628,0.0001898419995995,0.0011192620004294,0.0004034169996884,0.000408375999541,174.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21580,benchmark/refactory/data/question_3/code/correct/correct_3_517.py#3:,12.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12}","{1, 2, 3, 4, 8, 9, 10, 12}","{1, 2, 3, 4, 8, 9, 10, 12}",11.0,8.0,8.0,2.0272500478313304e-06,0.0006679164500383,0.0003650773500339,0.0003577041499738,0.0001227869997819,0.000737284999559,0.0003576519993657,0.0003553879996616,105.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21581,benchmark/refactory/data/question_3/code/correct/correct_3_517.py#4:,12.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12}","{1, 2, 3, 4, 8, 9, 10, 12}","{1, 2, 3, 4, 8, 9, 10, 12}",11.0,8.0,8.0,1.99269998120144e-06,0.0006708740000249,0.0003634964000411,0.0003600360500058,0.0001073089988494,0.0007488060000468,0.0003568909996829,0.000360867999916,105.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
21582,benchmark/refactory/data/question_3/code/correct/correct_3_517.py#5:,12.0,"{1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12}","{1, 2, 3, 4, 8, 9, 10, 12}","{1, 2, 3, 4, 8, 9, 10, 12}",11.0,8.0,8.0,2.056300036201719e-06,0.0006715832500049,0.0003628237000157,0.0003589249499782,0.0001072190007107,0.0007437360000039,0.0003577719999157,0.0003550270012055,105.0,True,False,,finished,0.0,0.0,0.0,0.0,0,0,refactory,Sliced code result differs from original
